Instance;Repetition;Algorithm;Fitness;Real_Time
"N-t65w11xx";18;"PLEDA";136588713.000;242.325
"N-t69r11xx";11;"PLEDA";767924.000;252.886
"N-t69r11xx";5;"PLEDA";767719.000;253.751
"N-stabu75";15;"PLEDA";546600.000;659.438
"N-stabu75";19;"PLEDA";549815.000;657.816
"N-stabu75";17;"PLEDA";546840.000;655.345
"N-t70i11xx";8;"PLEDA";24732358.000;199.422
"N-t69r11xx";1;"PLEDA";767562.000;251.800
"N-t70d11xx";2;"PLEDA";374047.000;248.717
"N-t70d11xx";3;"PLEDA";374412.000;246.071
"N-t69r11xx";16;"PLEDA";767713.000;252.940
"N-t70b11xx";14;"PLEDA";527939.000;242.031
"N-stabu75";18;"PLEDA";547805.000;661.677
"N-t69r11xx";17;"PLEDA";767988.000;252.554
"N-t70i11xx";9;"PLEDA";24724817.000;202.998
"N-t70d11xx";12;"PLEDA";373857.000;238.351
"N-t70d11xx";18;"PLEDA";374785.000;242.075
"N-t69r11xx";9;"PLEDA";767829.000;260.046
"N-t70f11xx";2;"PLEDA";358584.000;244.352
"N-t70i11xx";12;"PLEDA";24742031.000;199.918
"N-t70b11xx";17;"PLEDA";527606.000;246.377
"N-t69r11xx";12;"PLEDA";767911.000;262.657
"N-t70d11xx";15;"PLEDA";374184.000;259.915
"N-t70f11xx";20;"PLEDA";358619.000;239.520
"N-t70d11xxb";15;"PLEDA";365544.000;258.530
"N-stabu75";14;"PLEDA";544410.000;659.310
"N-stabu75";16;"PLEDA";546663.000;658.231
"N-t70d11xx";8;"PLEDA";375994.000;251.575
"N-t70d11xx";11;"PLEDA";375479.000;248.313
"N-t70f11xx";8;"PLEDA";357828.000;242.658
"N-t70d11xx";10;"PLEDA";374649.000;255.134
"N-stabu75";20;"PLEDA";546307.000;659.180
"N-t70d11xx";4;"PLEDA";374831.000;255.781
"N-t70f11xx";10;"PLEDA";357368.000;252.932
"N-t70d11xxb";3;"PLEDA";366072.000;258.157
"N-stabu75";7;"PLEDA";544677.000;684.420
"N-t70d11xxb";6;"PLEDA";365486.000;251.944
"N-stabu74";1;"PLEDA";537446.000;686.168
"N-t70d11xxb";18;"PLEDA";365187.000;253.664
"N-t70d11xxb";17;"PLEDA";365631.000;253.140
"N-stabu74";7;"PLEDA";536983.000;686.765
"N-t70i11xx";10;"PLEDA";24732003.000;243.904
"N-t70f11xx";4;"PLEDA";358241.000;254.583
"N-stabu75";10;"PLEDA";547065.000;689.154
"N-stabu75";12;"PLEDA";547694.000;687.188
"N-t70d11xx";9;"PLEDA";374349.000;259.195
"N-t70i11xx";3;"PLEDA";24673508.000;239.920
"N-t70f11xx";14;"PLEDA";358397.000;250.014
"N-stabu75";1;"PLEDA";545327.000;689.429
"N-stabu74";3;"PLEDA";533965.000;692.803
