Instance;Repetition;Algorithm;Fitness;Real_Time
N-t65d11xx;8;Gradient_100_0.1_superlinear;236961;7.8698
N-t59n11xx;14;Gradient_100_0.1_superlinear;20872;9.81365
N-t65b11xx;1;Gradient_100_0.1_superlinear;354256;9.9414
N-t65l11xx;4;Gradient_100_0.1_superlinear;16669;7.82036
N-t65i11xx;9;Gradient_100_0.1_superlinear;14454464;10.1342
N-t65l11xx;18;Gradient_100_0.1_superlinear;16702;9.36424
N-t65d11xx;11;Gradient_100_0.1_superlinear;236917;8.172
N-t65b11xx;11;Gradient_100_0.1_superlinear;354719;9.61743
N-t65l11xx;11;Gradient_100_0.1_superlinear;16669;7.77113
N-t65n11xx;4;Gradient_100_0.1_superlinear;32080;9.7387
N-t65w11xx;18;Gradient_100_0.1_superlinear;137712219;10.3031
N-t65i11xx;16;Gradient_100_0.1_superlinear;14457085;9.65089
N-t65d11xx;16;Gradient_100_0.1_superlinear;236946;9.52613
N-t65f11xx;12;Gradient_100_0.1_superlinear;216021;9.83879
N-t65b11xx;13;Gradient_100_0.1_superlinear;354055;10.0892
N-t65w11xx;10;Gradient_100_0.1_superlinear;137663530;9.76954
N-t65i11xx;5;Gradient_100_0.1_superlinear;14454320;10.5427
N-t65b11xx;8;Gradient_100_0.1_superlinear;354665;10.1124
N-t65i11xx;14;Gradient_100_0.1_superlinear;14455432;9.68766
N-t65w11xx;8;Gradient_100_0.1_superlinear;137671912;9.8404
N-t65f11xx;3;Gradient_100_0.1_superlinear;216246;9.8615
N-t65d11xx;1;Gradient_100_0.1_superlinear;236945;8.26269
N-t65i11xx;12;Gradient_100_0.1_superlinear;14455388;8.54999
N-t65d11xx;20;Gradient_100_0.1_superlinear;237064;9.91959
N-t65i11xx;10;Gradient_100_0.1_superlinear;14454211;10.1075
N-t65d11xx;9;Gradient_100_0.1_superlinear;237050;8.45644
N-t69r11xx;1;Gradient_100_0.1_superlinear;767841;9.35288
N-t65l11xx;8;Gradient_100_0.1_superlinear;16671;9.59824
N-t65i11xx;7;Gradient_100_0.1_superlinear;14452346;10.115
N-t65d11xx;7;Gradient_100_0.1_superlinear;236960;8.29586
N-t65i11xx;1;Gradient_100_0.1_superlinear;14454703;10.0571
N-t65d11xx;19;Gradient_100_0.1_superlinear;237034;7.78432
N-t65w11xx;12;Gradient_100_0.1_superlinear;137691997;10.0144
N-t65d11xx;15;Gradient_100_0.1_superlinear;236947;8.34323
N-t65i11xx;13;Gradient_100_0.1_superlinear;14452987;9.65592
N-t70b11xx;2;Gradient_100_0.1_superlinear;527374;8.31766
N-t65l11xx;12;Gradient_100_0.1_superlinear;16674;9.61039
N-t70b11xx;8;Gradient_100_0.1_superlinear;527407;7.8265
N-t65l11xx;16;Gradient_100_0.1_superlinear;16693;9.41586
N-t70b11xx;5;Gradient_100_0.1_superlinear;526139;9.56521
N-t70b11xx;13;Gradient_100_0.1_superlinear;527306;10.0699
N-t65f11xx;20;Gradient_100_0.1_superlinear;216249;9.46587
N-t70d11xx;1;Gradient_100_0.1_superlinear;374410;9.64625
N-t65f11xx;4;Gradient_100_0.1_superlinear;216132;9.67893
N-t65n11xx;6;Gradient_100_0.1_superlinear;32083;9.61972
N-t65w11xx;4;Gradient_100_0.1_superlinear;137698660;10.2561
N-t65l11xx;7;Gradient_100_0.1_superlinear;16700;9.82572
N-t65l11xx;13;Gradient_100_0.1_superlinear;16716;9.33963
N-t65f11xx;2;Gradient_100_0.1_superlinear;216324;9.8769
N-t69r11xx;20;Gradient_100_0.1_superlinear;767688;9.31517
N-t65n11xx;10;Gradient_100_0.1_superlinear;32082;9.61405
N-t65w11xx;20;Gradient_100_0.1_superlinear;137719159;9.87946
N-t70b11xx;19;Gradient_100_0.1_superlinear;526491;9.76249
N-t65w11xx;1;Gradient_100_0.1_superlinear;137730230;8.63858
N-t69r11xx;5;Gradient_100_0.1_superlinear;767729;9.38922
N-t65i11xx;15;Gradient_100_0.1_superlinear;14453305;8.5168
N-t65w11xx;11;Gradient_100_0.1_superlinear;137722520;10.2406
N-t70d11xxb;5;Gradient_100_0.1_superlinear;365395;7.90049
N-t65w11xx;7;Gradient_100_0.1_superlinear;137700894;8.4657
N-t65n11xx;18;Gradient_100_0.1_superlinear;32082;9.91955
N-t65f11xx;16;Gradient_100_0.1_superlinear;216389;9.55171
N-t69r11xx;13;Gradient_100_0.1_superlinear;767659;8.14721
N-t65i11xx;6;Gradient_100_0.1_superlinear;14452207;10.1299
N-t70d11xx;20;Gradient_100_0.1_superlinear;374928;8.30711
N-t65i11xx;18;Gradient_100_0.1_superlinear;14453444;9.89371
N-t65l11xx;15;Gradient_100_0.1_superlinear;16701;9.47309
N-t65w11xx;19;Gradient_100_0.1_superlinear;137664346;10.1512
N-t65l11xx;20;Gradient_100_0.1_superlinear;16696;9.44284
N-t70d11xxb;18;Gradient_100_0.1_superlinear;365377;8.30446
N-t70d11xx;5;Gradient_100_0.1_superlinear;375253;10.0969
N-t65n11xx;15;Gradient_100_0.1_superlinear;32081;8.03156
N-t65n11xx;11;Gradient_100_0.1_superlinear;32079;10.0675
N-t65w11xx;15;Gradient_100_0.1_superlinear;137685651;8.62471
N-t65l11xx;6;Gradient_100_0.1_superlinear;16690;9.33402
N-t65w11xx;17;Gradient_100_0.1_superlinear;137688633;10.2676
N-t65n11xx;2;Gradient_100_0.1_superlinear;32082;10.2189
N-t65n11xx;9;Gradient_100_0.1_superlinear;32083;7.93725
N-t69r11xx;2;Gradient_100_0.1_superlinear;767719;9.70781
N-t65i11xx;19;Gradient_100_0.1_superlinear;14455348;9.71849
N-t70d11xx;15;Gradient_100_0.1_superlinear;374971;9.84586
N-t65l11xx;5;Gradient_100_0.1_superlinear;16668;8.39366
N-t65w11xx;5;Gradient_100_0.1_superlinear;137702955;9.9339
N-t70d11xx;13;Gradient_100_0.1_superlinear;375553;8.25057
N-t65n11xx;19;Gradient_100_0.1_superlinear;32083;9.68145
N-t65l11xx;10;Gradient_100_0.1_superlinear;16669;7.70507
N-t69r11xx;15;Gradient_100_0.1_superlinear;767640;9.54405
N-t69r11xx;3;Gradient_100_0.1_superlinear;767601;9.41566
N-t69r11xx;19;Gradient_100_0.1_superlinear;767619;8.23577
